molecule	start	end	strand	prot	attributes
Bathelium_mastoideum	3132098	3138717	0	a6534.t1	ID=rna-gnl|WGS:JAPETJ|M1821_000936-T1_mrna;geneID=gene-M1821_000936
Bathelium_mastoideum	3139772	3142600	1	a6535.t1	ID=rna-gnl|WGS:JAPETJ|M1821_000937-T1_mrna;geneID=gene-M1821_000937
Bathelium_mastoideum	3146696	3148166	1	a6539.t1	ID=rna-gnl|WGS:JAPETJ|M1821_000938-T1_mrna;geneID=gene-M1821_000938;gene_name=CTB5
Bathelium_mastoideum	3152514	3153527	0	a6538.t1	ID=rna-gnl|WGS:JAPETJ|M1821_000940-T1_mrna;geneID=gene-M1821_000940
Bathelium_mastoideum	3155559	3156790	0	a6537.t1	ID=rna-gnl|WGS:JAPETJ|M1821_000941-T1_mrna;geneID=gene-M1821_000941;gene_name=CTB2
Bathelium_mastoideum	3157344	3159276	0	a6532.t1	ID=rna-gnl|WGS:JAPETJ|M1821_000942-T1_mrna;geneID=gene-M1821_000942
Bathelium_mastoideum	3160022	3161020	1	a6533.t1	ID=rna-gnl|WGS:JAPETJ|M1821_000943-T1_mrna;geneID=gene-M1821_000943
Cercospora_beticola_01	2250219	2251660	0	a6537.t1	ID=rna-XM_023593474.1;geneID=gene-RHO25_000865;gene_name=CTB2
Cercospora_beticola_01	2252212	2259250	0	a6534.t1	ID=rna-XM_023593475.1;geneID=gene-RHO25_000866;gene_name=CTB1
Cercospora_beticola_01	2260100	2262833	1	a6535.t1	ID=rna-XM_023593476.2;geneID=gene-RHO25_000867;gene_name=CTB3
Cercospora_beticola_01	2263269	2264908	0	a6539.t1	ID=rna-XM_023593477.1;geneID=gene-RHO25_000868;gene_name=CTB5
Cercospora_beticola_01	2268543	2269787	1	a6538.t1	ID=rna-XM_023593479.1;geneID=gene-RHO25_000870;gene_name=CTB8
Cercospora_beticola_01	2270214	2271212	0	a6538.t1	ID=rna-XM_023593480.1;geneID=gene-RHO25_000871
Cercospora_beticola_01	2280811	2282784	1	a6536.t1	ID=rna-XM_023593483.2;geneID=gene-RHO25_000874
Cercospora_beticola_01	2285723	2286900	0	a6533.t1	ID=rna-XM_023593486.1;geneID=gene-RHO25_000877;gene_name=CTB11
Cercospora_beticola_01	2287199	2289109	1	a6532.t1	ID=rna-XM_023593487.1;geneID=gene-RHO25_000878;gene_name=CTB12
Cercospora_beticola_02	410498	412519	0	a6532.t1	ID=rna-XM_023603710.1;geneID=gene-RHO25_012407
Cercospora_beticola_02	412816	413830	1	a6533.t1	ID=rna-XM_023603709.1;geneID=gene-RHO25_012408
Cercospora_beticola_02	414420	416362	1	a6539.t1	ID=rna-XM_023603708.1;geneID=gene-RHO25_012409
Cercospora_beticola_02	416416	417795	0	a6535.t1	ID=rna-XM_023603707.2;geneID=gene-RHO25_012410
Cercospora_beticola_02	420202	421699	0	a6537.t1	ID=rna-XM_023603705.2;geneID=gene-RHO25_012412
Cercospora_beticola_02	421864	423613	0	a6535.t1	ID=rna-XM_065603543.1;geneID=gene-RHO25_012413
Cercospora_beticola_02	424133	431123	1	a6534.t1	ID=rna-XM_023603704.1;geneID=gene-RHO25_012414
Colletotrichum_fioriniae	2707475	2708656	1	a6538.t1	ID=rna-XM_053194006.1;geneID=gene-N0V96_006129
Colletotrichum_fioriniae	2709476	2710639	0	a6537.t1	ID=rna-XM_053194007.2;geneID=gene-N0V96_006130;gene_name=CTB2
Colletotrichum_fioriniae	2712025	2714455	0	a6535.t1	ID=rna-XM_065757596.1;geneID=gene-N0V96_006131
Colletotrichum_fioriniae	2716688	2722069	1	a6534.t1	ID=rna-XM_065757597.1;geneID=gene-N0V96_006132
Colletotrichum_fioriniae	2723871	2725563	0	a6539.t1	ID=rna-XM_053194010.2;geneID=gene-N0V96_006133;gene_name=CTB5
Colletotrichum_fioriniae	2727426	2729315	0	a6532.t1	ID=rna-XM_065757599.1;geneID=gene-N0V96_006135
Colletotrichum_fioriniae	2743437	2744224	1	a6536.t1	ID=rna-XM_065757604.1;geneID=gene-N0V96_006142
Colletotrichum_fioriniae	2744924	2745517	1	a6536.t1	ID=rna-XM_065757605.1;geneID=gene-N0V96_006143
Corynespora_cassiicola	1840271	1842177	0	a6532.t1	ID=g11064.t1;geneID=g11064
Corynespora_cassiicola	1842544	1843524	1	a6533.t1	ID=g11065.t1;geneID=g11065
Corynespora_cassiicola	1843845	1850530	0	a6534.t1	ID=g11066.t1;geneID=g11066
